venda;data_hora;cliente;mesa;item;produto;quantidade;valor_unit;desconto;total_item
9762;16/10/2022 20:09;CONSUMIDOR;M 7;286;AGUA MINERAL S/GAS 500ML;1;5,99;0;5,99
9762;16/10/2022 20:09;CONSUMIDOR;M 7;320;CROISSANT;1;10;0;19,5
9762;16/10/2022 20:09;CONSUMIDOR;M 7;377;CAFE COLMEIA C/ LEITE G 200ML;2;12,5;0;25
9766;16/10/2022 20:10;CONSUMIDOR;M 3;50;SOURDOUGH 369G;1;15,5;0;15,5
9767;16/10/2022 20:16;IFOOD;;35;FOLHADO MACA 80G;1;16,7;0;16,7
9767;16/10/2022 20:16;IFOOD;;129;QUICHE DE FRANGO ALHO PORO;1;21,5;0;21,5
9768;16/10/2022 20:17;IFOOD;;33;CROISSANT  AMENDOAS 100G;1;16;0;16
9768;16/10/2022 20:17;IFOOD;;42;PASTEL DE NATA 60G;1;9,5;0;9,5
9768;16/10/2022 20:17;IFOOD;;320;CROISSANT;2;12;0;24
9768;16/10/2022 20:17;IFOOD;;321;CROISSANT IFOOD;1;12;0;29,5
9769;16/10/2022 20:29;CONSUMIDOR;M 26;125;SANDUICHE DE PEPERONI BRIE;1;29,5;0;29,5
9770;17/10/2022 09:36;CONSUMIDOR;M 4;32;COOKIES 80G;1;7;0;7
9770;17/10/2022 09:36;CONSUMIDOR;M 4;42;PASTEL DE NATA 60G;1;8,5;0;8,5
9770;17/10/2022 09:36;CONSUMIDOR;M 4;56;TOSTADA SICILIANA 195G;1;20;0;20
9770;17/10/2022 09:36;CONSUMIDOR;M 4;320;CROISSANT;1;10;0;26,5
9771;17/10/2022 09:46;CONSUMIDOR;M 7;31;CIABATTA 123G;1;7;0;7
9771;17/10/2022 09:46;CONSUMIDOR;M 7;116;COUVE LIMAO ABACAXI HORTELA;1;16,5;0;16,5
9771;17/10/2022 09:46;CONSUMIDOR;M 7;118;CENOURA MACA 400ML;1;16,5;0;16,5
9771;17/10/2022 09:46;CONSUMIDOR;M 7;142;PIZZA AL TAGLIO PEPPERONI 210G;1;22;0;22
9771;17/10/2022 09:46;CONSUMIDOR;M 7;178;ADICIONAL DE OVO;2;2;0;4
9772;17/10/2022 10:31;CONSUMIDOR;M 3;35;FOLHADO MACA 80G;1;14,5;0;14,5
9772;17/10/2022 10:31;CONSUMIDOR;M 3;320;CROISSANT;1;10;0;26,5
9772;17/10/2022 10:31;CONSUMIDOR;M 3;397;ABACAXI HORTELA 400 ML;1;15;0;15
9773;17/10/2022 11:07;CONSUMIDOR;M 4;320;CROISSANT;1;10;0;16,5
9773;17/10/2022 11:07;CONSUMIDOR;M 4;374;CAFE CATUAI VERMELHO G 200ML;1;11,5;0;11,5
9773;17/10/2022 11:07;CONSUMIDOR;M 4;376;CAFE CATUAI VERMELHO C/LEITE G;1;12,5;0;12,5
9774;17/10/2022 11:44;CONSUMIDOR;M 3;285;AGUA MINERAL C/GAS 500ML;1;6,99;0;6,99
9774;17/10/2022 11:44;CONSUMIDOR;M 3;288;PALMIER FOLHADO FRANCES;1;8;0;8
9774;17/10/2022 11:44;CONSUMIDOR;M 3;384;CAFE CATUAI VERMELHO P 70ML;2;9,5;0;19
9774;17/10/2022 11:44;CONSUMIDOR;M 3;398;QUICHE GONGORZOLA GOIABA;1;18,5;0;18,5
9775;17/10/2022 11:48;IFOOD;;120;BOWL DE IOGURTE FRUTAS AVEIA;1;14,5;0;14,5
9775;17/10/2022 11:48;IFOOD;;320;CROISSANT;1;12;0;12
9775;17/10/2022 11:48;IFOOD;;387;PAO DE QUEIJO;1;7,5;0;7,5
9776;17/10/2022 12:49;CONSUMIDOR;M 3;129;QUICHE DE FRANGO ALHO PORO;1;18,5;0;18,5
9776;17/10/2022 12:49;CONSUMIDOR;M 3;177;COCA COLA LATA 350 ML;1;6,5;0;6,5
9776;17/10/2022 12:49;CONSUMIDOR;M 3;320;CROISSANT;1;10;0;29,5
9778;17/10/2022 14:02;CONSUMIDOR;M 26;387;PAO DE QUEIJO;1;6,5;0;6,5
9779;17/10/2022 14:41;CONSUMIDOR;M 3;41;MINI PAIN AU CHOCOLAT 35G;1;6,5;0;6,5
9779;17/10/2022 14:41;CONSUMIDOR;M 3;120;BOWL DE IOGURTE FRUTAS AVEIA;1;13,5;0;13,5
9779;17/10/2022 14:41;CONSUMIDOR;M 3;144;LARANJA 400 ML;1;14,5;0;14,5
9779;17/10/2022 14:41;CONSUMIDOR;M 3;320;CROISSANT;1;10;0;10
9777;17/10/2022 14:50;CONSUMIDOR;M 4;29;BOMBOLONI NUTELLA 80G;1;12;0;12
9777;17/10/2022 14:50;CONSUMIDOR;M 4;45;PIZZA AL TAGLIO GORGONZOLA E;1;22;0;22
9777;17/10/2022 14:50;CONSUMIDOR;M 4;56;TOSTADA SICILIANA 195G;1;20;0;20
9777;17/10/2022 14:50;CONSUMIDOR;M 4;112;CENOURA GENGIBRE LIMAO 400ML;2;16,5;0;33
9777;17/10/2022 14:50;CONSUMIDOR;M 4;113;COUVE ABACAXI AGUA DE COCO;1;17,5;0;17,5
9777;17/10/2022 14:50;CONSUMIDOR;M 4;142;PIZZA AL TAGLIO PEPPERONI 210G;1;22;0;22
9777;17/10/2022 14:50;CONSUMIDOR;M 4;144;LARANJA 400 ML;1;14,5;0;14,5
9781;17/10/2022 16:39;CONSUMIDOR;M 24;31;CIABATTA 123G;2;7;0;14
9781;17/10/2022 16:39;CONSUMIDOR;M 24;34;FOCACCIA FORMAGGIO 246G;1;20,5;0;20,5
9781;17/10/2022 16:39;CONSUMIDOR;M 24;138;MINI CROISSANT 25G KIT C 5;1;21;0;21
9782;17/10/2022 16:44;CONSUMIDOR;M 21;222;VH CAMINO DE CHILE CABERNET;1;35,99;0;35,99
9780;17/10/2022 17:07;CONSUMIDOR;M 17;34;FOCACCIA FORMAGGIO 246G;1;20,5;0;20,5
9780;17/10/2022 17:07;CONSUMIDOR;M 17;35;FOLHADO MACA 80G;1;14,5;0;14,5
9780;17/10/2022 17:07;CONSUMIDOR;M 17;174;COCA COLA ZERO LATA 350 ML;1;6,5;0;6,5
9780;17/10/2022 17:07;CONSUMIDOR;M 17;386;CAFE COLMEIA P 70ML;1;9,5;0;9,5
9785;17/10/2022 17:28;CONSUMIDOR;M 21;34;FOCACCIA FORMAGGIO 246G;1;20,5;0;20,5
9786;17/10/2022 17:44;IFOOD;;33;CROISSANT  AMENDOAS 100G;1;16;0;16
9786;17/10/2022 17:44;IFOOD;;34;FOCACCIA FORMAGGIO 246G;1;22;0;22
